case_id,family,n_vars,n_clauses,width,status,witness,assignments,nodes,decisions,propagations,conflicts,literal_checks,xor_source_rows,xor_source_literals,xor_calls,xor_row_checks,xor_pairs,xor_pair_bit_volume,xor_derived,xor_peak_rows,xor_cutoffs,xor_forced
cnf-only-n14-s2,cnf-only,14,56,4,SAT,00100010010110,0,6,4,21,1,1567,0,0,0,0,0,0,0,0,0,0
mixed-n14-s3,mixed,14,56,0,SAT,00110101101111,0,13,7,42,5,3357,7,21,0,0,0,0,0,0,0,0
mixed-n14-s3,mixed,14,56,2,SAT,00110101101111,0,13,7,42,5,3357,7,21,7,49,57,719,6,7,0,0
mixed-n14-s3,mixed,14,56,3,SAT,00110101101111,0,11,6,40,4,3095,7,21,8,56,1469,19274,87,31,0,4
mixed-n14-s3,mixed,14,56,4,SAT,00110101101111,0,11,6,40,4,3095,7,21,8,56,7487,99904,283,62,0,4
planted-n14-s3,planted,14,56,0,SAT,00100110100101,0,21,12,46,8,4198,7,21,0,0,0,0,0,0,0,0
planted-n14-s3,planted,14,56,2,SAT,00100110100101,0,21,12,46,8,4198,7,21,12,84,342,3774,39,15,0,0
planted-n14-s3,planted,14,56,3,SAT,00100110100101,0,7,4,29,2,1793,7,21,6,42,1994,25480,101,38,0,4
planted-n14-s3,planted,14,56,4,SAT,00100110100101,0,7,4,29,2,1793,7,21,6,42,5462,71664,182,63,0,4
cnf-only-n14-s3,cnf-only,14,56,0,UNSAT,,0,11,5,41,6,3747,0,0,0,0,0,0,0,0,0,0
cnf-only-n14-s3,cnf-only,14,56,2,UNSAT,,0,11,5,41,6,3747,0,0,0,0,0,0,0,0,0,0
cnf-only-n14-s3,cnf-only,14,56,3,UNSAT,,0,11,5,41,6,3747,0,0,0,0,0,0,0,0,0,0
cnf-only-n14-s3,cnf-only,14,56,4,UNSAT,,0,11,5,41,6,3747,0,0,0,0,0,0,0,0,0,0
mixed-n14-s4,mixed,14,56,0,SAT,11101000100110,0,11,6,32,4,2794,7,21,0,0,0,0,0,0,0,0
mixed-n14-s4,mixed,14,56,2,SAT,11101000100110,0,11,6,32,4,2794,7,21,6,42,52,691,6,9,0,0
mixed-n14-s4,mixed,14,56,3,SAT,11101000100110,0,11,6,32,4,2794,7,21,6,42,741,9773,47,25,0,0
mixed-n14-s4,mixed,14,56,4,SAT,11101000100110,0,11,6,32,4,2794,7,21,6,42,2683,35787,133,40,0,0
planted-n14-s4,planted,14,56,0,SAT,00010000000010,0,3,2,9,0,821,7,21,0,0,0,0,0,0,0,0
planted-n14-s4,planted,14,56,2,SAT,00010000000010,0,3,2,9,0,821,7,21,2,14,15,183,2,6,0,0
planted-n14-s4,planted,14,56,3,SAT,00010000000010,0,2,1,10,0,797,7,21,2,14,655,8106,37,31,0,1
planted-n14-s4,planted,14,56,4,SAT,00010000000010,0,2,1,10,0,797,7,21,2,14,3019,39885,96,62,0,1
cnf-only-n14-s4,cnf-only,14,56,0,SAT,10000100001010,0,5,4,10,0,920,0,0,0,0,0,0,0,0,0,0
cnf-only-n14-s4,cnf-only,14,56,2,SAT,10000100001010,0,5,4,10,0,920,0,0,0,0,0,0,0,0,0,0
cnf-only-n14-s4,cnf-only,14,56,3,SAT,10000100001010,0,5,4,10,0,920,0,0,0,0,0,0,0,0,0,0
cnf-only-n14-s4,cnf-only,14,56,4,SAT,10000100001010,0,5,4,10,0,920,0,0,0,0,0,0,0,0,0,0
mixed-n14-s5,mixed,14,56,0,SAT,11001001010110,0,12,6,29,5,2129,7,21,0,0,0,0,0,0,0,0
mixed-n14-s5,mixed,14,56,2,SAT,11001001010110,0,12,6,29,5,2129,7,21,6,42,238,2912,19,21,0,0
mixed-n14-s5,mixed,14,56,3,SAT,11001001010110,0,10,5,24,4,1956,7,21,6,42,1127,14213,68,34,0,1
mixed-n14-s5,mixed,14,56,4,SAT,11001001010110,0,10,5,24,4,1956,7,21,6,42,6678,87258,238,62,0,1
planted-n14-s5,planted,14,56,0,SAT,10010111000010,0,6,4,20,1,1302,7,21,0,0,0,0,0,0,0,0
planted-n14-s5,planted,14,56,2,SAT,10010111000010,0,6,4,20,1,1302,7,21,4,28,6,61,0,4,0,0
planted-n14-s5,planted,14,56,3,SAT,10010111000010,0,6,4,19,1,1234,7,21,5,35,266,3431,19,17,0,1
planted-n14-s5,planted,14,56,4,SAT,10010111000010,0,6,4,19,1,1234,7,21,5,35,1136,14871,66,35,0,1
cnf-only-n14-s5,cnf-only,14,56,0,UNSAT,,0,19,9,57,10,4930,0,0,0,0,0,0,0,0,0,0
cnf-only-n14-s5,cnf-only,14,56,2,UNSAT,,0,19,9,57,10,4930,0,0,0,0,0,0,0,0,0,0
cnf-only-n14-s5,cnf-only,14,56,3,UNSAT,,0,19,9,57,10,4930,0,0,0,0,0,0,0,0,0,0
cnf-only-n14-s5,cnf-only,14,56,4,UNSAT,,0,19,9,57,10,4930,0,0,0,0,0,0,0,0,0,0
mixed-n14-s6,mixed,14,56,0,SAT,01110100001111,0,10,5,40,4,2811,7,21,0,0,0,0,0,0,0,0
mixed-n14-s6,mixed,14,56,2,SAT,01110100001111,0,10,5,40,4,2811,7,21,5,35,27,352,3,6,0,0
mixed-n14-s6,mixed,14,56,3,SAT,01110100001111,0,9,4,38,4,2474,7,21,8,56,1305,17277,89,27,0,6
mixed-n14-s6,mixed,14,56,4,SAT,01110100001111,0,9,4,38,4,2474,7,21,8,56,4236,56369,195,48,0,6
planted-n14-s6,planted,14,56,0,SAT,01100110001011,0,3,2,12,0,942,7,21,0,0,0,0,0,0,0,0
planted-n14-s6,planted,14,56,2,SAT,01100110001011,0,3,2,12,0,942,7,21,2,14,0,0,0,1,0,0
planted-n14-s6,planted,14,56,3,SAT,01100110001011,0,3,2,12,0,942,7,21,2,14,121,1567,9,12,0,0
planted-n14-s6,planted,14,56,4,SAT,01100110001011,0,3,2,12,0,942,7,21,2,14,490,6298,31,25,0,0
